Office,Implementation Track Sites,Training Only Sites,Dropout Sites,Total Participants,Recognized Sites,% of Implementation Track Sites Recognized
BTO,3,1,3,19,0,0%
FEMP,10,20,0,45,0,0%
ITO,20,8,4,86,1,5%
Total,33,29,7,150,1,3%
